id,Patent number,link,title,inventor name,date,num pages
3321,US-20230063753-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230063753,TESTING VIRTUAL REALITY INTEGRATION WITH A DEVELOPMENT ENVIRONMENT,Karri; Venkata Vara Prasad et al.,2023-03-02,13
3322,US-20230063994-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230063994,ARTIFICIAL INTELLIGENCE ENABLED VIRTUAL BOUNDARY USING VISUAL PROJECTION FOR IDENTIFICATION,Karri; Venkata Vara Prasad et al.,2023-03-02,25
3323,US-20230064112-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230064112,LIFECYCLE MANAGEMENT IN COLLABORATIVE VERSION CONTROL,Wang; Jun et al.,2023-03-02,18
3324,US-20230066871-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230066871,USER-INTERACTIVE TOOLS AND METHODS FOR CONFIGURING BUILDING EQUIPMENT SYSTEMS,Murray; Steven R. et al.,2023-03-02,39
3325,US-20230066506-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230066506,DOCUMENT RETRIEVAL AND PROCESSING FROM ONLINE DATABASES USING THUMBNAIL IMAGE INDEXING BASED ON USER AND DATA TYPE,Casas; Gregory J,2023-03-02,21
3326,US-20230063227-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230063227,AUTO-ADAPTATION OF AI SYSTEM FROM FIRST ENVIRONMENT TO SECOND ENVIRONMENT,Rakshit; Sarbajit K.,2023-03-02,18
3327,US-11593612-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11593612,Intelligent image captioning,Mao; Junhua et al.,2023-02-28,29
3328,US-11593724-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11593724,Cloud-based system and method to track and manage objects,Sundel; Michael B. et al.,2023-02-28,69
3329,US-11590179-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11590179,Bifidobacterium longum able to beneficially modulate immune response to respiratory virus infection,Kiely; Barry et al.,2023-02-28,86
3330,US-11593442-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11593442,System and method for segmenting mobile entities based on mobile device signals,Muttineni; Prakash et al.,2023-02-28,35
3331,US-11593346-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11593346,Crowdsourced validation of electronic content,Zack; Richard K.,2023-02-28,30
3332,US-11592902-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11592902,Wearable electronic haptic feedback system for VR/AR and gaming,Daniels; John J.,2023-02-28,74
3333,US-11593419-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11593419,User-centric ontology population with user refinement,Ristoski; Petar et al.,2023-02-28,22
3334,US-11594222-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11594222,Collaborative artificial intelligence method and system,Lefkofsky; Eric et al.,2023-02-28,98
3335,US-11593390-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11593390,Cloud-based system and method to track and manage objects,Sundel; Michael B.,2023-02-28,73
3336,US-11594224-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11594224,Voice user interface for intervening in conversation of at least one user by adjusting two different thresholds,Wang; Kun et al.,2023-02-28,42
3337,US-11593445-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11593445,Social communities assistant,Koch; Robert et al.,2023-02-28,16
3338,US-11593823-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11593823,Intelligent transaction optimization assistant,Buesser; Beat et al.,2023-02-28,23
3339,US-11595312-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11595312,Mobile management system,Savarese; Joseph T. et al.,2023-02-28,104
3340,US-11593961-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11593961,Difference-guided video analysis,Wang; Lingyun et al.,2023-02-28,17
3341,US-11594257-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11594257,Collaborative media object generation and presentation in improved collaborative workspace,Conlin; Paul Donnelly et al.,2023-02-28,37
3342,US-11595961-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11595961,Configuration and utilization of reconfigurable intelligent surfaces for sidelink communication,Yang; Wei et al.,2023-02-28,58
3343,US-20230059328-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230059328,DIRECTED TRAJECTORIES THROUGH COMMUNICATION DECISION TREE USING ITERATIVE ARTIFICIAL INTELLIGENCE,Roberts; Tara U. et al.,2023-02-23,43
3344,US-20230059467-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230059467,"Computer-Implemented, User-Controlled Method of Automatically Organizing, Storing, and Sharing Personal Information",Kanner; Adam et al.,2023-02-23,54
3345,US-20230057310-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230057310,TREATMENT METHODS,Flechtner; Jessica Baker et al.,2023-02-23,176
3346,US-20230055968-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230055968,FILTERING GROUP MESSAGES,SHARON; Gil et al.,2023-02-23,15
3347,US-20230055666-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230055666,NATURAL QUESTION GENERATION VIA REINFORCEMENT LEARNING BASED GRAPH-TO-SEQUENCE MODEL,Wu; Lingfei et al.,2023-02-23,24
3348,US-20230058169-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230058169,SYSTEM FOR REPRESENTING ATTRIBUTES IN A TRANSPORTATION SYSTEM DIGITAL TWIN,Cella; Charles Howard et al.,2023-02-23,192
3349,US-20230057963-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230057963,"VIDEO PLAYING METHOD, APPARATUS AND DEVICE, STORAGE MEDIUM, AND PROGRAM PRODUCT",CHEN; Fasheng,2023-02-23,35
3350,US-20230058194-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230058194,"TEXT CLASSIFICATION METHOD AND APPARATUS, DEVICE, AND COMPUTER-READABLE STORAGE MEDIUM",ZHANG; Xianli et al.,2023-02-23,22
3351,US-20230058611-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230058611,PRODUCT/SERVICE PROPOSAL SYSTEM AND COMPUTER PROGRAM PRODUCT,SUETSUGU; KATSUNORI,2023-02-23,14
3352,US-20230054073-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230054073,"COMPOSITIONS, KITS, AND METHODS FOR DETECTING PRECLINICAL ALZHEIMER'S DISEASE",Huang; Xin et al.,2023-02-23,42
3353,US-20230056983-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230056983,METHOD AND WEARABLE DEVICE FOR ENHANCING QUALITY OF EXPERIENCE INDEX FOR USER IN IOT NETWORK,ANAND; Satyajit et al.,2023-02-23,24
3354,US-20230056422-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230056422,COHORT BASED RESILIENCY MODELING,Teichman; Dore Isadore et al.,2023-02-23,24
3355,US-20230056390-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230056390,VEHICLE-TO-PEDESTRIAN (V2P) COMMUNICATION AND DATA ASSOCIATION FOR PEDESTRIAN POSITION DETERMINATION AND COLLISION AVOIDANCE,BALASUBRAMANIAN; Anantharaman et al.,2023-02-23,30
3356,US-20230057531-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230057531,MOBILE DEVICE STANDS FOR AT-HOME DIAGNOSTICS AND HEALTHCARE,Nienstedt; Zachary Carl et al.,2023-02-23,59
3357,US-20230058835-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230058835,SYSTEMS AND METHODS FOR MEDIA-BASED PERSONALITY ANALYSIS,Ahluwalia; Vishal et al.,2023-02-23,34
3358,US-20230057821-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230057821,ENHANCED CONTENT SUBMISSIONS FOR SUPPORT CHATS,Marzorati; Mauro et al.,2023-02-23,16
3359,US-20230059399-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230059399,DYNAMIC TRIGGERING OF AUGMENTED REALITY ASSISTANCE MODE FUNCTIONALITIES,Chaudhary; Kartik et al.,2023-02-23,29
3360,US-20230059857-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230059857,REPAIRING OF MACHINE LEARNING PIPELINES,Dolby; Julian Timothy et al.,2023-02-23,32
3361,US-20230054446-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230054446,"SYSTEMS AND METHODS FOR FUNCTIONALLY SEPARATING GEOSPATIAL INFORMATION FOR LAWFUL AND TRUSTWORTHY ANALYTICS, ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",LaFever; Malcolm Gary et al.,2023-02-23,159
3362,US-20230054582-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230054582,FEATURE SELECTION AND HYPERPARAMETER OPTIMIZATION USING LDS,Kishimoto; Akihiro et al.,2023-02-23,21
3363,US-20230053913-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230053913,TAILORING A MULTI-CHANNEL HELP DESK ENVIRONMENT BASED ON MACHINE LEARNING MODELS,De Souza; Carlos Demetrio et al.,2023-02-23,20
3364,US-20230056637-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230056637,HARDWARE AND SOFTWARE CONFIGURATION MANAGEMENT AND DEPLOYMENT,Reyes; Joseph et al.,2023-02-23,18
3365,US-20230055847-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230055847,SYSTEM AND METHOD FOR DYNAMICALLY GROUPING LEARNERS DURING A LIVE LEARNING SESSION,MALLAR; Pranav R. et al.,2023-02-23,19
3366,US-20230057132-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230057132,ACKNOWLEDGEMENT OF DATA PACKET TRANSMISSION USING RLC IN AM MODE OPERATING IN 5G PROTOCOL STACK WITH MITIGATION OF RLC CHANNEL CONGESTION,Sivakumar; Gandhi et al.,2023-02-23,18
3367,US-11583758-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11583758,Top performers,Lutnick; Howard W. et al.,2023-02-21,97
3368,US-11587673-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11587673,"Systems, methods and articles for enhancing wellness associated with habitable environments",Pillai; Dana S. et al.,2023-02-21,50
3369,US-11583515-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11583515,Composition and method for rapidly inducing an endogenous ketosis,Galinski; Jesse Alexander,2023-02-21,23
3370,US-11587559-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11587559,Intelligent device identification,Newendorp; Brandon J. et al.,2023-02-21,99
3371,US-11583181-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11583181,"Device and method for capturing, analyzing, and sending still and video images of the fundus during examination using an ophthalmoscope",Dirghangi; Arjun,2023-02-21,23
3372,US-11586907-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586907,Arithmetic unit for deep learning acceleration,Singh; Surinder Pal et al.,2023-02-21,51
3373,US-11586941-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586941,Recommendation method and apparatus,Yu; Jinkai et al.,2023-02-21,28
3374,US-11586994-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586994,Transaction-enabled systems and methods for providing provable access to a distributed ledger with serverless code logic,Cella; Charles Howard,2023-02-21,532
3375,US-11587074-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11587074,Recordation of device usage to blockchains,Snow; Paul,2023-02-21,57
3376,US-11589339-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11589339,Method and device for configuring uplink control channel in wireless cellular communication system,Choi; Seunghoon et al.,2023-02-21,32
3377,US-11588902-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11588902,Intelligent reasoning framework for user intent extraction,Howard; Newton,2023-02-21,28
3378,US-11587069-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11587069,Digital contracts in blockchain environments,Snow; Paul,2023-02-21,67
3379,US-11586510-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586510,Dynamic checkpointing in a data processing system,Santhar; Sathya et al.,2023-02-21,22
3380,US-11586827-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586827,Generating desired discourse structure from an arbitrary text,Galitsky; Boris,2023-02-21,57
3381,US-11588812-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11588812,Preselected issuance and data operations loops in a blockchain network,Cage; Daniel et al.,2023-02-21,25
3382,US-11588652-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11588652,Systems and methods for improving smart city and smart region architectures,Sanger; John,2023-02-21,37
3383,US-11586934-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586934,Evolutionary programming techniques utilizing context indications,Hazard; Christopher James,2023-02-21,37
3384,US-11586973-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586973,Dynamic source reliability formulation,Frost; Keith G. et al.,2023-02-21,27
3385,US-11587666-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11587666,Delivery of an extended digital therapeutic (ExRx) based on an emotional/mental state (EMS) and/or home-bound state (HBS),Moskowitz; Michael Phillips,2023-02-21,67
3386,US-11587041-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11587041,Guidance based on biometrics,Trim; Craig M. et al.,2023-02-21,18
3387,US-11587561-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11587561,Communication system and method of extracting emotion data during translations,Weir; Mary Lee,2023-02-21,18
3388,US-11586812-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586812,Unsupervised generation of rules for an adapter grammar,Kalia; Anup et al.,2023-02-21,22
3389,US-11587668-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11587668,Methods and systems for a medical image annotation tool,O'Connor; Sean et al.,2023-02-21,22
3390,US-11587189-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11587189,Formal verification of smart contracts,Madl; Gabor et al.,2023-02-21,25
3391,US-11586677-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586677,Resolving user expression having dependent intents,Carrier; Scott et al.,2023-02-21,17
3392,US-11584707-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11584707,Non-coordinating anion type activators containing cation having aryldiamine groups and uses thereof,Faler; Catherine A. et al.,2023-02-21,73
3393,US-11586598-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586598,Data deduplication in data platforms,Ranchal; Rohit et al.,2023-02-21,22
3394,US-11586849-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586849,Mitigating statistical bias in artificial intelligence models,Zhang; Yunfeng et al.,2023-02-21,30
3395,US-11586336-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586336,Private control interfaces for extended reality,Holland; Wesley James et al.,2023-02-21,39
3396,US-11586932-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586932,Model training with variable batch sizing and gradient checkpoint segments,Goyal; Saurabh et al.,2023-02-21,23
3397,US-11586177-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586177,Robotic process selection and configuration,Cella; Charles Howard et al.,2023-02-21,332
3398,US-11586178-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586178,AI solution selection for an automated robotic process,Cella; Charles Howard et al.,2023-02-21,333
3399,US-11586676-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586676,Mode-specific search query processing,Stober; Thomas et al.,2023-02-21,28
3400,US-11588897-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11588897,Simulating user interactions over shared content,Berliner; Tamir et al.,2023-02-21,168
3401,US-11588705-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11588705,Virtual reality-based network traffic load simulation,Karri; Venkata Vara Prasad et al.,2023-02-21,17
3402,US-11586422-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586422,Automated system capacity optimization,Dauber; Melanie et al.,2023-02-21,16
3403,US-11586816-B2,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586816,Content tailoring for diverse audiences,Hou; Yufang et al.,2023-02-21,16
3404,US-11587232-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11587232,Systems and methods for preventing errors in medical imaging,Wick; Carson Arthur et al.,2023-02-21,24
3405,US-11586766-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586766,Apparatuses and methods for revealing user identifiers on an immutable sequential listing,Stewart; Arran et al.,2023-02-21,26
3406,US-11586415-B1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11586415,Processing system having a machine learning engine for providing an output via a digital assistant system,Schreier; Elizabeth C. et al.,2023-02-21,30
3407,US-20230046596-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230046596,METHODS AND SYSTEMS FOR ELECTRONIC TRANSACTIONS,Ross; Jerry,2023-02-16,35
3408,US-20230048571-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230048571,SYSTEM AND METHOD OF IMPROVING SLEEP,Poltorak; Alexander,2023-02-16,100
3409,US-20230047695-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230047695,INTERFERENCE MEASUREMENT FOR SIDELINK,SARKIS; Gabi et al.,2023-02-16,31
3410,US-20230049700-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230049700,AUTOANTIBODIES AS BIOMARKERS FOR AUTOIMMUNE POLYGLANDULAR SYNDROME TYPE 1,Mandel-Brehm; Caleigh et al.,2023-02-16,101
3411,US-20230052022-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230052022,Systems and Methods for Dynamic Charting,GNANASAMBANDAM; Nathan et al.,2023-02-16,76
3412,US-20230047253-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230047253,System and Method for Dynamic Goal Management in Care Plans,GNANASAMBANDAM; Nathan et al.,2023-02-16,157
3413,US-20230052573-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230052573,SYSTEM AND METHOD FOR AUTONOMOUSLY GENERATING PERSONALIZED CARE PLANS,GNANASAMBANDAM; Nathan et al.,2023-02-16,157
3414,US-20230051413-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230051413,"VOICE CALL CONTROL METHOD AND APPARATUS, COMPUTER-READABLE MEDIUM, AND ELECTRONIC DEVICE",LI; Juanjuan et al.,2023-02-16,24
3415,US-20230048173-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230048173,METHODS AND APPARATUS TO DETERMINE WHEN A SMART DEVICE IS OUT-OF-TAB,Anderson; Michael Evan et al.,2023-02-16,20
3416,US-20230049135-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230049135,"DEEP LEARNING-BASED VIDEO EDITING METHOD, RELATED DEVICE, AND STORAGE MEDIUM",SU; Ye et al.,2023-02-16,32
3417,US-20230050135-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230050135,ESCALATION MANAGEMENT AND JOURNEY MINING,THIEL; WILL,2023-02-16,29
3418,US-20230049589-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230049589,HEALTH TESTING AND DIAGNOSTICS PLATFORM,"Ferro, JR.; Michael W. et al.",2023-02-16,72
3419,US-20230050079-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230050079,"TEXT RECOGNITION METHOD, ELECTRONIC DEVICE, AND NON-TRANSITORY STORAGE MEDIUM",LV; Pengyuan et al.,2023-02-16,20
3420,US-20230048653-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230048653,SOFTWARE APPLICATION DEPLOYMENT,TRIPATHI; Dinesh et al.,2023-02-16,38
3421,US-20230052603-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230052603,SYSTEM AND METHOD FOR DATA PROCESS,Chang; Ru-Yng,2023-02-16,30
3422,US-20230050034-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230050034,AUTOMATED GENERATION OF PREDICTIVE INSIGHTS CLASSIFYING USER ACTIVITY,BEN-ELAZAR; Shay et al.,2023-02-16,33
3423,US-20230051437-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230051437,ENHANCED QUANTUM CIRCUIT OPERATION VIA A UNIVERSALLY IMPLEMENTABLE 4X4 UNITARY MATRIX DECOMPOSITION,Javadiabhari; Ali,2023-02-16,35
3424,US-20230049262-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230049262,"MULTI-SENSORY, ASSISTIVE WEARABLE TECHNOLOGY, AND METHOD OF PROVIDING SENSORY RELIEF USING SAME",RUTTENBERG; David,2023-02-16,74
3425,US-20230048995-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230048995,MACHINE LEARNING ANALYSIS TECHNIQUES FOR CLINICAL AND PATIENT DATA,Ekström; Jussi et al.,2023-02-16,39
3426,US-20230048811-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230048811,"METHODS, SYSTEMS, APPARATUSES, AND DEVICES FOR FACILITATING PROVIDING EDUCATION TO A USER",Radford; Jameel Lateef,2023-02-16,38
3427,US-20230052274-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230052274,"METHODS, APPARATUS, AND ARTICLES OF MANUFACTURE TO DETERMINE UNIQUE AUDIENCE SIZE VIA CLUSTERED DATA",Shah; Dipti Umesh et al.,2023-02-16,46
3428,US-20230052225-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230052225,METHODS AND COMPUTER SYSTEMS FOR AUTOMATED EVENT DETECTION BASED ON MACHINE LEARNING,EDINGTON; Scott et al.,2023-02-16,34
3429,US-20230052452-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230052452,SOCKET TRANSFERRING FOR HPC NETWORKS USING KERNEL TRACING,Choochotkaew; Sunyanan et al.,2023-02-16,24
3430,US-20230051169-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230051169,CONFLICT DE-ESCALATION TRAINING SYSTEM AND METHOD,Garcia; Johnny et al.,2023-02-16,16
3431,US-20230046393-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230046393,Banking as a Service Enabled Virtual Exchange Computing Platform,Gatchalian; Gilbert M. et al.,2023-02-16,12
3432,US-20230046980-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230046980,DATA TRANSFER WITH CONTINUOUS WEIGHTED PPM DURATION SIGNAL,Yasuda; Takeo et al.,2023-02-16,22
3433,US-20230050219-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230050219,PHILANTHROPIC ACTION METHOD AND SYSTEM,Wallerson; Brandon et al.,2023-02-16,57
