search URL:,https://patents.google.com/?q=%28%22educational+data+mining%22+OR+%22learning+analytics%22%29+AND+%28%22artificial+intelligence%22+OR+AI+OR+ML+OR+DL+OR+NLP%29&oq=%28%22educational+data+mining%22+OR+%22learning+analytics%22%29+AND+%28%22artificial+intelligence%22+OR+AI+OR+ML+OR+DL+OR+NLP%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-110852390-A,Student score classification prediction method and system based on campus behavior sequence ,山东师范大学,"王新华, 于雪萌, 郭磊, 刘方爱",2019-11-13,2019-11-13,2020-02-28,,https://patents.google.com/patent/CN110852390A/en,https://patentimages.storage.googleapis.com/2f/3a/fa/a1be8b55c5bd43/HDA0002271410290000011.png
CN-116823027-A,Intelligent student capability assessment method based on associated skill knowledge ,"兰州大学, 兰州速微网络科技有限公司","苏伟, 黄强, 绽琨, 许存禄, 袁永娜",2023-06-05,2023-06-05,2023-09-29,,https://patents.google.com/patent/CN116823027A/en,
US-11189922-B2,Cellular system ,Bao Tran,"Bao Tran, Ha Tran",2019-05-07,2020-09-16,2021-11-30,2021-11-30,https://patents.google.com/patent/US11189922B2/en,https://patentimages.storage.googleapis.com/e5/64/ba/c50599009dbb02/US11189922-20211130-D00000.png
US-2021112425-A1,Cellular system ,Bao Tran,"Bao Tran, Ha Tran",2019-09-02,2020-09-16,2021-04-15,,https://patents.google.com/patent/US20210112425A1/en,https://patentimages.storage.googleapis.com/43/02/69/69a458c4d61dc3/US20210112425A1-20210415-D00000.png
CN-116521997-A,Personalized learning path recommendation method based on reinforcement learning ,东北大学,"张天成, 李季, 李捷, 张馨艺, 于明鹤, 于戈",2023-05-08,2023-05-08,2023-08-01,,https://patents.google.com/patent/CN116521997A/en,
CN-111428052-A,Method for constructing educational concept graph with multiple relations from multi-source data ,中国科学技术大学,"刘淇, 陈恩红, 黄小青, 王超, 马建辉, 苏喻",2020-03-30,2020-03-30,2020-07-17,,https://patents.google.com/patent/CN111428052A/en,https://patentimages.storage.googleapis.com/89/b9/21/3cdbe82095608f/HDA0002430745800000011.png
KR-20230047351-A,Method for questions assessment and device for questions assessment using the same ,주식회사 셀바스에이아이,"장영걸, 박재우, 이정민",2020-04-08,2023-03-29,2023-04-07,,https://patents.google.com/patent/KR20230047351A/en,https://patentimages.storage.googleapis.com/26/b3/9e/9ca19bcb30a22c/pat00006.png
US-2015004588-A1,Test Size Reduction via Sparse Factor Analysis ,William Marsh Rice University,"Divyanshu Vats, Christoph E. Studer, Richard G. Baraniuk",2013-06-28,2014-06-27,2015-01-01,,https://patents.google.com/patent/US20150004588A1/en,https://patentimages.storage.googleapis.com/3f/37/4e/aa0c2eb2493735/US20150004588A1-20150101-D00000.png
US-2023127335-A1,Intelligent and adaptive measurement system for remote education ,EMC IP Holding Company LLC,"Danqing Sha, Eric Bruno, Amy N. Seibel, Zhen Jia, Kenneth Durazzo",2021-10-22,2021-10-22,2023-04-27,,https://patents.google.com/patent/US20230127335A1/en,https://patentimages.storage.googleapis.com/1d/33/f8/48a1cb2c7db9d9/US20230127335A1-20230427-D00000.png
US-2013096892-A1,Systems and methods for monitoring and predicting user performance ,"Alfred H. Essa, Hanan G. A. Ayad","Alfred H. Essa, Hanan G. A. Ayad",2011-10-17,2012-10-16,2013-04-18,,https://patents.google.com/patent/US20130096892A1/en,https://patentimages.storage.googleapis.com/60/fd/92/60087a7899422c/US20130096892A1-20130418-D00000.png
US-11860613-B2,"Intelligent data object model for distributed product manufacturing, assembly and facility infrastructure ",Zero Electric Vehicles Corp.,"James L Maury, Damon Kuhn, Ted Post",2020-07-20,2020-07-20,2024-01-02,2024-01-02,https://patents.google.com/patent/US11860613B2/en,https://patentimages.storage.googleapis.com/31/94/d5/037db63ba49953/US11860613-20240102-D00000.png
US-2023123704-A1,Adaptive tennis ball machine ,SurfaSense LLC,"Farida Abdelmoneum, Aleena Mughal",2018-12-21,2022-10-17,2023-04-20,,https://patents.google.com/patent/US20230123704A1/en,https://patentimages.storage.googleapis.com/c3/bc/5f/d901aba6d492b3/US20230123704A1-20230420-D00000.png
US-11170177-B2,Computational linguistic analysis of learners' discourse in computer-mediated group learning environments ,"Nia Marcia Maria Dowell, Tristan Nixon","Nia Marcia Maria Dowell, Tristan Nixon",2017-07-28,2018-07-30,2021-11-09,2021-11-09,https://patents.google.com/patent/US11170177B2/en,https://patentimages.storage.googleapis.com/e6/69/ab/9dffdc86ffec5a/US11170177-20211109-D00000.png
CA-2782841-A1,Systems and methods for monitoring and predicting user performance ,"Desire2Learn Incorporated, Alfred H. Essa, Hanan G.A. Ayad, D2L Incorporated, D2L Corporation","Alfred H. Essa, Hanan G.A. Ayad",2011-10-17,2012-07-09,2013-04-17,,https://patents.google.com/patent/CA2782841A1/en,
BR-102022005415-A2,PROCESS FOR ESTIMATING STUDENT PROFICIENCY IN CURRICULAR SKILLS AND USES ,Jovens Gênios Provedor De Conteúdo Ltda Me,Fernando Costa De Souza,2022-03-22,2022-03-22,2023-10-03,,https://patents.google.com/patent/BR102022005415A2/en,
US-10552764-B1,Machine learning system for a training model of an adaptive trainer ,"Aptima, Inc.",Alan Carlin,2012-04-27,2016-12-30,2020-02-04,2020-02-04,https://patents.google.com/patent/US10552764B1/en,https://patentimages.storage.googleapis.com/e4/c9/59/11ed878aeb89ec/US10552764-20200204-D00000.png
CN-117371528-A,Knowledge space-based knowledge tracking method ,东北大学,"张天成, 王铭雪, 冯昕, 刘恒宇, 陈宇, 于明鹤, 于戈",2023-11-09,2023-11-09,2024-01-09,,https://patents.google.com/patent/CN117371528A/en,
US-11514809-B2,Educational and content recommendation management system ,Obrizum Group Ltd.,"Chibeza Chintu Agley, Matthew Jonathan Chadwick, Juergen Fink, Sarra Achouri",2019-07-03,2020-07-01,2022-11-29,2022-11-29,https://patents.google.com/patent/US11514809B2/en,https://patentimages.storage.googleapis.com/64/4c/20/252ec7c3fa0b02/US11514809-20221129-D00000.png
CA-3220163-A1,System and method for laser downhole extended sensing ,"Saudi Arabian Oil Company, Sameeh Issa Batarseh, Damian Pablo San Roman ALERIGI","Sameeh Issa Batarseh, Damian Pablo San Roman ALERIGI",2021-05-24,2022-05-24,2022-12-01,,https://patents.google.com/patent/CA3220163A1/en,
KR-102352652-B1,Computing technologies for diagnosis and therapy of language-related disorders ,"파우-산 하루타, 채리세 시-페이 하루타, 키에란 빙-페이 하루타","파우-산 하루타, 채리세 시-페이 하루타, 키에란 빙-페이 하루타",2013-10-31,2014-10-29,2022-01-18,2022-01-18,https://patents.google.com/patent/KR102352652B1/en,https://patentimages.storage.googleapis.com/74/76/a7/adf081f73249c3/112021123690222-pat00017.png
US-10290221-B2,Systems and methods to customize student instruction ,"Aptima, Inc.","E. Webb Stacy, Courtney Dean, Alan Carlin, Danielle Dumond",2012-04-27,2013-04-29,2019-05-14,2019-05-14,https://patents.google.com/patent/US10290221B2/en,https://patentimages.storage.googleapis.com/b5/27/4c/6bf4b0267531f5/US10290221-20190514-D00000.png
CN-112215506-A,Intelligent digital education AI classroom big data management platform and device ,深圳市爱云信息科技有限公司,刘天琼,2020-10-20,2020-10-20,2021-01-12,,https://patents.google.com/patent/CN112215506A/en,https://patentimages.storage.googleapis.com/b9/c3/e1/850111af18df42/HDA0002732000860000011.png
WO-2021211886-A1,Modular platform for ocular evaluations ,"Icahn School Of Medicine At Mount Sinai, Nekuda Dm Technologies And Design Ltd","Avner Sadot, Ilana TEICHER, Ori Jacobi, Tal Preger GALILI, Andrew Jinrui WARBURTON, Randal Alexander Serafini, Claudio Randal Serafini, Aashay Dineshkumar PATEL, Margarita LABKOVICH, Aly Al-Amyn VALLIANI, Sumeet MURARKA",2020-04-15,2021-04-15,2021-10-21,,https://patents.google.com/patent/WO2021211886A1/en,
US-2023170067-A1,System and method for monitoring package opening and personalizing user engagement ,"Synchronyx, Llc",Tamar Sapir,2020-04-27,2021-04-27,2023-06-01,,https://patents.google.com/patent/US20230170067A1/en,https://patentimages.storage.googleapis.com/22/68/60/e39d10c42be05e/US20230170067A1-20230601-D00000.png
CN-114898460-A,Teacher non-verbal behavior detection method based on graph convolution neural network ,华中师范大学,"庞世燕, 张安然, 杨玉芹, 王涛, 左志奇",2022-04-22,2022-04-22,2022-08-12,,https://patents.google.com/patent/CN114898460A/en,https://patentimages.storage.googleapis.com/21/e6/4b/1e2b4e3d2f7e18/HDA0003610178260000011.png
KR-102636581-B1,Diagnosis and prescription service provision system for each type of self-directed learning ,주식회사 아이스크림에듀,"박유진, 김지하, 조건희, 현주은, 김진천, 김관석, 오희택, 박승규, 박선경, 홍영기, 이지근",,2022-10-20,2024-02-16,2024-02-16,https://patents.google.com/patent/KR102636581B1/en,
US-2017041183-A1,System and method for operating an artificial social network ,Brillianetor Ltd.,Meirav HADAD SEGEV,2014-03-27,2015-03-26,2017-02-09,,https://patents.google.com/patent/US20170041183A1/en,https://patentimages.storage.googleapis.com/45/c3/cb/ae92fc298d2df6/US20170041183A1-20170209-D00000.png
CN-114547408-A,Similar student searching method based on fine-grained student space-time behavior heterogeneous network representation ,北京工业大学,"贾熹滨, 鲁子佳, 米庆",2022-01-18,2022-01-18,2022-05-27,,https://patents.google.com/patent/CN114547408A/en,https://patentimages.storage.googleapis.com/42/b4/6f/877b148b589633/HDA0003475022130000011.png
WO-2023187474-A1,Training system with asynchronous and remote feedback ,Training Competence Spa.,"Julian Emanuel VARAS COHEN, Gabriel Enrique ESCALONA VIVAS",2022-03-30,2023-03-30,2023-10-05,,https://patents.google.com/patent/WO2023187474A1/en,
US-2016171902-A1,Mathematical Language Processing: Automatic Grading and Feedback for Open Response Mathematical Questions ,William Marsh Rice University,"Shiting Lan, Divyanshu Vats, Andrew E. Waters, Richard G. Baraniuk",2014-12-12,2015-12-11,2016-06-16,,https://patents.google.com/patent/US20160171902A1/en,https://patentimages.storage.googleapis.com/4b/e2/05/ae46e31c6254ee/US20160171902A1-20160616-D00000.png
US-2018191867-A1,"Systems, methods, and devices for an enterprise ai and internet-of-things platform ","C3 loT, Inc.","Thomas M. Siebel, Edward Y. Abbo, Houman Behzadi, John Coker, Scott Kurinskas, Thomas Rothwein, David Tchankotadze",2015-01-23,2018-02-07,2018-07-05,,https://patents.google.com/patent/US20180191867A1/en,https://patentimages.storage.googleapis.com/e0/e9/65/636fed3f3b8bd4/US20180191867A1-20180705-D00000.png
KR-102398417-B1,A system that collects and analyzes multi-modal learning data based on learning analytics standard model ,주식회사 아이스크림에듀,조용상,2021-08-17,2021-08-17,2022-05-16,2022-05-16,https://patents.google.com/patent/KR102398417B1/en,https://patentimages.storage.googleapis.com/79/d0/84/a8067f61c138d1/112021094510758-pat00001.png
CN-115238036-A,Cognitive diagnosis method and device based on graph attention network and text information ,浙江工商大学,"徐斌, 蔡跃康",2022-07-13,2022-07-13,2022-10-25,,https://patents.google.com/patent/CN115238036A/en,https://patentimages.storage.googleapis.com/25/ca/55/3d37ec89baf20f/HDA0003744089660000011.png
US-2019189021-A1,STEM-CyLE: SCIENCE TECHNOLOGY ENGINEERING AND MATHEMATICS CYBERLEARNING ENVIRONMENT ,The Florida International University Board Of Trustees,"Peter J. Clarke, Raymond Chang Lau, Steve Foo, Debra Davis",2017-12-19,2017-12-19,2019-06-20,,https://patents.google.com/patent/US20190189021A1/en,https://patentimages.storage.googleapis.com/14/27/c2/59bd7d4e5ea57d/US20190189021A1-20190620-D00000.png
US-2022108214-A1,Management method of machine learning model for network data analytics function device ,Electronics And Telecommunications Research Institute,"Soohwan Lee, Myung Ki Shin, Seung-Ik LEE",2020-08-13,2021-08-13,2022-04-07,,https://patents.google.com/patent/US20220108214A1/en,https://patentimages.storage.googleapis.com/5b/6e/75/de7a063128d2e1/US20220108214A1-20220407-D00000.png
US-2020204341-A1,Secure Machine Learning Analytics Using Homomorphic Encryption ,"Enveil, Inc.","Ellison Anne Williams, Ryan Carr",2017-01-20,2020-02-27,2020-06-25,,https://patents.google.com/patent/US20200204341A1/en,https://patentimages.storage.googleapis.com/39/f5/c2/208e8c7ef4df74/US20200204341A1-20200625-D00000.png
US-2020293619-A1,Omnichannel data communications system using artificial intelligence (ai) based machine learning and predictive analysis ,ContactEngine Limited,"Andrew Mark AYERS, Giles BRYAN, Mark Kingsley Smith",2019-03-15,2019-03-15,2020-09-17,,https://patents.google.com/patent/US20200293619A1/en,https://patentimages.storage.googleapis.com/ab/75/7d/ea74187c0bb8c1/US20200293619A1-20200917-D00000.png
EP-3798942-B1,Artificial intelligence channel for industrial automation ,"Rockwell Automation Technologies, Inc.","Bijan Sayyarrodsari, Michael Pantaleano, Ka H. LIN, Jürgen K. Weinhofer, Andrew J. ELLIS, Kyle Crum, Sujeet Chand, David Vasko, Subbian Govindaraj",2019-09-30,2020-03-30,2024-01-24,2024-01-24,https://patents.google.com/patent/EP3798942B1/en,https://patentimages.storage.googleapis.com/56/6a/e7/12645fc8a77eaf/imgf0001.png
US-11282196-B2,Automated patient complexity classification for artificial intelligence tools ,International Business Machines Corporation,"Emily Lindemer, David Richmond, Marwan Sati, Maria V. Sainz de Cea",2018-11-20,2020-06-24,2022-03-22,2022-03-22,https://patents.google.com/patent/US11282196B2/en,https://patentimages.storage.googleapis.com/b4/d5/a4/5970efce3e803b/US11282196-20220322-D00000.png
US-11373045-B2,Determining context and intent in omnichannel communications using machine learning based artificial intelligence (AI) techniques ,ContactEngine Limited,"Dominic Bealby-Wright, Cosmin Dragos Davidescu",2019-09-24,2019-09-24,2022-06-28,2022-06-28,https://patents.google.com/patent/US11373045B2/en,https://patentimages.storage.googleapis.com/7b/95/65/a96699252e09a1/US11373045-20220628-D00000.png
US-2021397166-A1,Industrial automation control program generation from computer-aided design ,"Rockwell Automation Technologies, Inc.","Bijan Sayyarrodsari, Subbian Govindaraj, David A. Vasko, Juergen Weinhofer, Andrew J Ellis, Ka-Hing Lin, Michael Pantaleano, Sujeet Chand, Kyle A. Crum",2020-06-18,2020-06-18,2021-12-23,,https://patents.google.com/patent/US20210397166A1/en,https://patentimages.storage.googleapis.com/e9/14/6e/d841441deae8b2/US20210397166A1-20211223-D00000.png
EP-3929685-A1,Industrial automation hmi program file generation from computer-aided design ,"Rockwell Automation Technologies, Inc.","Bijan Sayyarrodsari, Subbian Govindaraj, David A. Vasko, Juergen Weinhofer, Andrew James Ellis, Ka-Hing Lin, Michael Pantaleano, Sujeet Chand, Kyle A. CRUM",2020-06-22,2021-06-08,2021-12-29,,https://patents.google.com/patent/EP3929685A1/en,https://patentimages.storage.googleapis.com/32/7d/92/84e41086898a41/imgf0001.png
EP-3798776-A1,Progressive contextualization and analytics of industrial data ,"Rockwell Automation Technologies, Inc.","Bijan Sayyarrodsari, Michael Pantaleano, Ka H. LIN, Jürgen K. Weinhofer, Andrew J. ELLIS, Kyle Crum, Sujeet Chand, David Vasko, Subbian Govindaraj",2019-09-30,2020-03-31,2021-03-31,,https://patents.google.com/patent/EP3798776A1/en,https://patentimages.storage.googleapis.com/69/5b/8e/b339ed374e073b/imgf0001.png
US-2022035684-A1,Dynamic load balancing of operations for real-time deep learning analytics ,Nvidia Corporation,"Shaunak Gupte, Amit Kale, Bhushan Rupde, Kaustubh Purandare",2020-08-03,2021-05-26,2022-02-03,,https://patents.google.com/patent/US20220035684A1/en,https://patentimages.storage.googleapis.com/20/8b/5f/1ac7ae4c336adb/US20220035684A1-20220203-D00000.png
EP-3726320-A1,Smart gateway platform for industrial internet of things ,"Rockwell Automation Technologies, Inc.","Sujeet Chand, Joachim Thomsen",2019-04-15,2020-04-15,2020-10-21,,https://patents.google.com/patent/EP3726320A1/en,https://patentimages.storage.googleapis.com/11/f4/ae/4dead9bb1b8d27/imgf0001.png
EP-3388986-A1,End-to-end project management platform with artificial intelligence integration ,Accenture Global Solutions Limited,"Krupa Srivastava, Mark Lazarus, Rajendra T. Prasad, Vijayaraghavan Koushik, Bhaskar Ghosh, Mohan Sekhar, Robin Nastri, Arpan Shukla",2017-04-11,2018-04-11,2018-10-17,,https://patents.google.com/patent/EP3388986A1/en,https://patentimages.storage.googleapis.com/00/4e/a6/69d1d54e7e56bb/imgf0001.png
US-2021256615-A1,Implementing Machine Learning For Life And Health Insurance Loss Mitigation And Claims Handling ,State Farm Mutual Automobile Insurance Company,"Gregory L. Hayward, Meghan Sims Goldfarb, Nicholas U. Christopulos, Erik Donahue",2017-09-27,2018-09-20,2021-08-19,,https://patents.google.com/patent/US20210256615A1/en,https://patentimages.storage.googleapis.com/f6/19/44/d6ec371f63d4f2/US20210256615A1-20210819-D00000.png
US-11445378-B2,"System, method, and apparatus for providing dynamic, prioritized spectrum management and utilization ","Digital Global Systems, Inc.","Armando Montalvo, Dwight Inman, Edward Hummel",2020-05-01,2021-08-30,2022-09-13,2022-09-13,https://patents.google.com/patent/US11445378B2/en,https://patentimages.storage.googleapis.com/b5/8e/f0/da6474f401e302/US11445378-20220913-D00000.png
US-11836473-B2,Active adaptation of networked compute devices using vetted reusable software components ,"Archemy, Inc.",Jean-Claude L. FRANCHITTI,2017-12-05,2021-07-27,2023-12-05,2023-12-05,https://patents.google.com/patent/US11836473B2/en,https://patentimages.storage.googleapis.com/f8/04/de/c41ff15c52cfe6/US11836473-20231205-D00000.png
US-2020394455-A1,Data analytics engine for dynamic network-based resource-sharing ,"Paul Lee, Julian Okuyiga, Nelson Estrada","Paul Lee, Julian Okuyiga, Nelson Estrada",2019-06-15,2020-06-15,2020-12-17,,https://patents.google.com/patent/US20200394455A1/en,https://patentimages.storage.googleapis.com/43/93/89/01aee625aea1f8/US20200394455A1-20201217-D00000.png
US-2020273578-A1,"Computer-implemented system and methods for predicting the health and therapeutic behavior of individuals using artificial intelligence, smart contracts and blockchain ","John D. Kutzko, Wayne C. A. Wright","John D. Kutzko, Wayne C. A. Wright",2018-05-18,2020-05-12,2020-08-27,,https://patents.google.com/patent/US20200273578A1/en,https://patentimages.storage.googleapis.com/70/3c/20/0f7eb07b15d451/US20200273578A1-20200827-D00000.png
US-11888839-B1,Continuous authentication through orchestration and risk calculation post-authentication system and method ,Secureauth Corporation,"Shahrokh Shahidzadeh, Nadal Shahidzadeh, Christopher Clifford, Haitham Akkary, Seyedamir Karimikho",2019-12-04,2023-01-09,2024-01-30,2024-01-30,https://patents.google.com/patent/US11888839B1/en,https://patentimages.storage.googleapis.com/ad/9b/d8/d4d9ac157c5b94/US11888839-20240130-D00000.png
US-2021314081-A1,"Detection, Analysis, and Countermeasures for Radio Transceivers ","Genghiscomm Holdings, LLC","Steve Shattil, Robi Sen, Thomas J. Hoeft",2017-10-11,2021-06-07,2021-10-07,,https://patents.google.com/patent/US20210314081A1/en,https://patentimages.storage.googleapis.com/57/81/fa/5002e717c347e3/US20210314081A1-20211007-D00000.png
US-2019318240-A1,Training machine learning models in distributed computing systems ,"Kazuhm, Inc.","Rounak Prasad KULKARNI, Armin KADIYAN, Tim O'NEAL",2018-04-16,2018-10-08,2019-10-17,,https://patents.google.com/patent/US20190318240A1/en,https://patentimages.storage.googleapis.com/f9/80/ba/09934898d5379a/US20190318240A1-20191017-D00000.png
US-2018205546-A1,"Systems, methods, apparatuses for secure management of legal documents ",Assetvault Limited,"Farid Haque, Vishnu Teja Chundi",2016-12-31,2017-12-22,2018-07-19,,https://patents.google.com/patent/US20180205546A1/en,https://patentimages.storage.googleapis.com/dd/0b/eb/c52224f26dbdea/US20180205546A1-20180719-D00000.png
US-2021211449-A1,"Systems, methods, and computer-readable media for data security ","Nasdaq, Inc.",Stuart Ogawa,2014-01-30,2021-03-05,2021-07-08,,https://patents.google.com/patent/US20210211449A1/en,https://patentimages.storage.googleapis.com/14/2e/91/75956c7b2fdad1/US20210211449A1-20210708-D00000.png
US-11411980-B2,Insider threat management ,Defendedge Ai Cyber Technologies Llc,"Anastasios Triantafillos, Wasif NOOR",2019-09-13,2020-09-04,2022-08-09,2022-08-09,https://patents.google.com/patent/US11411980B2/en,https://patentimages.storage.googleapis.com/c0/d0/a8/b5a92b815e498d/US11411980-20220809-D00000.png
US-2021297876-A1,Method and system for polymorphic algorithm-based network slice orchestration ,Verizon Patent And Licensing Inc.,"Krishna K. Bellamkonda, Kristen Sydney Young, Ravi Potluri, Jin Yang",2020-03-19,2021-04-20,2021-09-23,,https://patents.google.com/patent/US20210297876A1/en,https://patentimages.storage.googleapis.com/9f/59/45/47cb72bf00df24/US20210297876A1-20210923-D00000.png
US-2021221004-A1,Autonomous companion mobile robot and system ,"Irepa International, LLC","Sanjiv S. Gupta, Izabela Repczynska",2018-06-01,2021-03-15,2021-07-22,,https://patents.google.com/patent/US20210221004A1/en,https://patentimages.storage.googleapis.com/25/30/ba/9ad18d502f6266/US20210221004A1-20210722-D00000.png
KR-102515735-B1,Data Pipeline and Deep Learning System for Autonomous Driving ,"테슬라, 인크.","티모페이 우바로프, 브리제시 트리파씨, 에브진 파인스타인",2018-06-20,2019-03-20,2023-03-30,2023-03-30,https://patents.google.com/patent/KR102515735B1/en,https://patentimages.storage.googleapis.com/ae/c4/ec/07a84eebecacd1/112021000985964-pct00001.png
CA-2964936-C,System and method for facilitating computer generated conversations with the aid of a digital computer ,"SmarTBotHub LLC, Alkarim Lalji, Andrew A. Wells, Smartbothub, Inc.","Alkarim Lalji, Andrew A. Wells",2016-04-22,2017-04-24,2020-09-01,2020-09-01,https://patents.google.com/patent/CA2964936C/en,
US-10922631-B1,System and method for secure touchless authentication of user identity ,Acceptto Corporation,Shahrokh Shahidzadeh,2019-08-04,2020-08-04,2021-02-16,2021-02-16,https://patents.google.com/patent/US10922631B1/en,https://patentimages.storage.googleapis.com/2f/e4/ff/97fe06c49c0a15/US10922631-20210216-D00000.png
US-11868039-B1,System and method for continuous passwordless authentication across trusted devices ,Secureauth Corporation,"Shahrokh Shahidzadeh, Shawn Stevens, Fausto Oliveira, Seyedamir Karimikho",2019-09-09,2020-11-02,2024-01-09,2024-01-09,https://patents.google.com/patent/US11868039B1/en,https://patentimages.storage.googleapis.com/b1/0f/ab/2cb0ecb03b2651/US11868039-20240109-D00000.png
KR-20230099909-A,An open online learning platform that enables knowledge trading ,주식회사 랭버스,최용진,2021-12-28,2021-12-28,2023-07-05,,https://patents.google.com/patent/KR20230099909A/en,https://patentimages.storage.googleapis.com/55/2f/40/0b9ad11507c2ae/pat00001.png
US-11455641-B1,System and method to identify user and device behavior abnormalities to continuously measure transaction risk ,Secureauth Corporation,"Nahal Shahidzadeh, Shahrokh Shahidzadeh, Haitham Akkary",2018-03-11,2021-01-01,2022-09-27,2022-09-27,https://patents.google.com/patent/US11455641B1/en,https://patentimages.storage.googleapis.com/69/9a/6f/ea6b9c22d9b54c/US11455641-20220927-D00000.png
US-11005839-B1,System and method to identify abnormalities to continuously measure transaction risk ,Acceptto Corporation,"Nahal Shahidzadeh, Shahrokh Shahidzadeh, Haitham Akkary",2018-03-11,2019-03-11,2021-05-11,2021-05-11,https://patents.google.com/patent/US11005839B1/en,https://patentimages.storage.googleapis.com/61/fe/50/5478393b3ebf85/US11005839-20210511-D00000.png
CA-2952576-C,Machine learning platform for performing large scale data analytics ,"Miovision Technologies Incorporated, Akshaya K. MISHRA, Nicholas JANKOVIC, Kurtis N. MCBRIDE, Anthony I. BRIJPAUL, Justin A. EICHEL, Nicholas Miller","Akshaya K. MISHRA, Nicholas JANKOVIC, Kurtis N. MCBRIDE, Anthony I. BRIJPAUL, Justin A. EICHEL, Nicholas Miller",2014-06-20,2015-06-18,2022-07-26,2022-07-26,https://patents.google.com/patent/CA2952576C/en,
KR-102538768-B1,Systems and methods for acquiring training data ,"테슬라, 인크.",안드레아 카르파티,2018-09-14,2019-09-13,2023-06-01,2023-06-01,https://patents.google.com/patent/KR102538768B1/en,https://patentimages.storage.googleapis.com/b2/4b/fb/fa3d521ff59ae0/112021030979061-pct00001.png
